商品CD,呼び径1,呼び径2,呼び径3,年号,倉庫部門CD,年月度,現在庫_完成品数,現在庫_出荷予定数,最終更新日,最終更新時刻
asdfasd
ZPFER000     ,  50,  50,   ,2023,1,00000000,24,0,20241213,010821
KS2EA000     , 400,    ,   ,2023,1,00000000,0,0,20241213,010610
KJRE 000     , 400,    ,   ,2023,1,00000000,0,0,20241213,010455
KKUE 000     , 300, 100,   ,2023,1,00000000,1,0,20241213,010531
F3TER000     , 300, 300,   ,2023,1,00000000,0,0,20240122,001500
FFCEA000     , 300,    ,   ,2023,1,00000000,0,0,20241213,010213
K45E 000     , 150,    ,   ,2023,1,00000000,0,0,20241213,010421
K45E 000     , 100,    ,   ,2023,1,00000000,0,0,20241213,010421
KFTNR000     , 250, 100,   ,2022,2,00000000,0,0,20241213,010449
G45D 000     , 100,    ,   ,2023,1,00000000,0,0,20241213,010315
GGSD 000     , 100,  75,   ,2023,1,00000000,0,0,20241213,010331
ES3D 990     , 150,    ,   ,2023,1,00000000,0,0,20241213,010142
GS1DR000     , 200,    ,   ,2023,1,00000000,0,0,20241213,010343
GZPD 000     , 100, 300,   ,2023,1,00000000,0,0,20241213,010353
GG2D 000     , 150,    ,   ,2023,1,00000000,0,0,20241213,010324
G05N 002     ,  75,    ,   ,2022,1,00000000,0,0,20241213,010310
FFCEA000     ,  75,    ,   ,2023,1,00000000,0,0,20241213,010212
FFCED000     ,  75,    ,   ,2023,1,00000000,0,0,20241213,010213
KS1ED000     ,  75,    ,   ,2023,1,00000000,1,1,20241213,010552
KS1E2000     , 150,    ,   ,2023,1,00000000,1,1,20241213,010548
KKUN 000     , 450, 300,   ,2022,1,00000000,0,0,20241213,010537
G45D 000     ,  75,    ,   ,2023,1,00000000,0,0,20241213,010315
GJRD 000     ,  75,    ,   ,2023,1,00000000,0,0,20241213,010339
FRPZR000     , 250, 200,   ,2023,2,00000000,0,0,20230113,104453
FSPEA000     ,  75, 200,   ,2023,1,00000000,0,0,20241213,010238
GG2E 000     , 300,    ,   ,2022,41,00000000,0,0,20230113,114634
GG4E 000     , 300,    ,   ,2022,41,00000000,0,0,20241021,094920
GJRD 000     , 250,    ,   ,2023,1,00000000,0,0,20241213,010339
GVTDR000     , 200,  75,   ,2023,1,00000000,0,0,20241213,010352
FRPE2000     , 150, 100,   ,2023,1,00000000,0,0,20240219,001508
FRPED000     , 150, 100,   ,2023,1,00000000,0,0,20241213,010227
949TB9000    ,    ,    ,   ,2022,1,00000000,0,0,20241213,010111
N11E 000     , 400,    ,   ,2022,3,00000000,0,0,20230112,161853
NN4E 000     , 400,    ,   ,2022,3,00000000,0,0,20230112,161853
K2TER000     , 150,  75,   ,2023,1,00000000,0,0,20231013,083533
FRPER000     , 200, 150,   ,2023,1,00000000,0,0,20240122,001537
G11D 000     , 300,    ,   ,2023,1,00000000,0,0,20241213,010310
FSPER000     ,  75, 100,   ,2023,11,00000000,0,0,20241213,010245
BJ011924     ,  75,    ,   ,2023,1,00000000,0,0,20241213,010115
UNML0L 000   ,  36,1545,   ,2023,1,00000000,0,0,20241213,010813
UNML0L 000   ,  36,1565,   ,2023,1,00000000,0,0,20241213,010813
GS1EA000     , 100,    ,   ,2023,2,00000000,0,0,20241213,010343
G90E 000     , 100,    ,   ,2023,2,00000000,0,0,20241213,010319
ZPFER000     ,  75,  75,   ,2023,3,00000000,0,0,20241213,010821
KP1E 000     ,  75,    ,   ,2023,2,00000000,0,0,20241213,010539
G22E 000     , 100,    ,   ,2023,3,00000000,1,3,20241213,010313
F90YR000     , 500,    ,   ,2023,2,00000000,0,0,20230112,114101
F90ZR000     , 500,    ,   ,2023,2,00000000,0,0,20230612,001444
F45YR000     , 500,    ,   ,2023,2,00000000,0,0,20230112,131952
GS1ZA000     , 150,    ,   ,2023,1,00000000,0,0,20230315,001501
K22E 000     , 400,    ,   ,2023,1,00000000,0,0,20241213,010412
K45E 000     , 400,    ,   ,2023,1,00000000,0,0,20241213,010422
K90E 000     , 400,    ,   ,2023,1,00000000,0,0,20241213,010430
K22E 000     , 100,    ,   ,2023,1,00000000,0,0,20241213,010411
KS1ER000     , 100,    ,   ,2023,1,00000000,0,0,20241213,010555
KFTEA000     , 250,  75,   ,2023,1,00000000,0,0,20240201,135357
KP1E 000     , 250,    ,   ,2023,1,00000000,0,0,20241213,010541
KJRE 000     , 250,    ,   ,2023,1,00000000,0,0,20241213,010455
KP1E 000     ,  75,    ,   ,2023,1,00000000,0,0,20241213,010539
FSPEA000     , 100, 150,   ,2023,2,00000000,0,0,20241213,010239
KS2EA006     , 200,    ,   ,2023,1,00000000,0,0,20231129,103455
FRPE2000     , 150, 100,   ,2023,2,00000000,0,0,20230616,110309
FRPED000     , 150, 100,   ,2023,2,00000000,0,0,20231016,001445
KKUE 000     , 150, 100,   ,2023,1,00000000,0,0,20241213,010530
GFTEA000     , 150,  75,   ,2023,1,00000000,0,0,20241213,010322
FFCEA000     , 100,    ,   ,2023,3,00000000,0,0,20241213,010212
KKTE 000     , 150, 150,   ,2023,2,00000000,0,0,20241213,010518
KKUE 000     , 150, 100,   ,2023,2,00000000,0,0,20241213,010530
K90E 000     , 150,    ,   ,2023,2,00000000,0,0,20241213,010429
FFCER000     ,  50,    ,   ,2023,3,00000000,0,0,20241213,010214
GS2EA000     , 150,    ,   ,2023,3,00000000,1,0,20241213,010346
DFAG CG794   ,  75, 100,   ,2023,1,00000000,0,0,20230912,090941
FSPEA000     , 100, 500,   ,2023,1,00000000,0,0,20241213,010240
FSPEA000     , 100, 300,   ,2023,1,00000000,0,0,20241213,010240
NFTEA000     , 350,  75,   ,2023,3,00000000,0,0,20231213,125736
N11E 000     , 350,    ,   ,2023,3,00000000,0,0,20231213,125736
N22E 000     , 350,    ,   ,2023,3,00000000,0,0,20230329,111929
N45E 000     , 350,    ,   ,2023,3,00000000,0,0,20231213,125736
GS1EA000     ,  75,    ,   ,2023,1,00000000,0,0,20241213,010343
GZPE 000     , 300, 450,   ,2023,1,00000000,0,0,20241213,010355
KGTE 000     , 100,    ,   ,2023,1,00000000,6,0,20241213,010450
KKUE 000     , 300, 200,   ,2023,1,00000000,0,0,20241213,010531
G11E 000     , 200,    ,   ,2023,1,00000000,0,0,20241213,010311
FSPED000     ,  75, 300,   ,2023,1,00000000,0,0,20241213,010242
KS1EA000     , 100,    ,   ,2023,1,00000000,0,0,20241213,010550
KJRE 000     , 400,    ,   ,2023,3,00000000,0,0,20241213,010455
KP1E 000     , 400,    ,   ,2023,3,00000000,0,0,20241213,010541
GZPE 000     , 200, 300,   ,2023,1,00000000,1,0,20241213,010355
GGTE 000     , 200, 150,   ,2023,1,00000000,0,0,20241213,010334
GUTEA000     , 200,  75,   ,2023,1,00000000,0,0,20241213,010351
KGTE 000     , 200,    ,   ,2023,1,00000000,6,0,20241213,010451
GS1EA000     , 200,    ,   ,2023,1,00000000,0,0,20241213,010343
1RG  000     , 300,    ,   ,2023,1,00000000,4,0,20241213,010048
3UT  000     , M20, 110,   ,2023,1,00000000,37,0,20241213,010102
GL4E 916     , 150,    ,   ,2023,1,00000000,0,0,20241213,010342
F3TED000     , 200, 200,   ,2024,1,00000000,0,0,20241213,001504
GS1EA000     , 200,    ,   ,2023,3,00000000,0,0,20241213,010343
K2TEA000     , 100,  75,   ,2023,1,00000000,0,0,20231020,131421
GGUE 000     , 300, 200,   ,2023,1,00000000,0,0,20241213,010338
GGSE 000     , 300, 250,   ,2023,1,00000000,0,0,20241213,010332
GZPE 000     , 300, 300,   ,2023,1,00000000,0,0,20241213,010355
GGUE 000     , 300, 200,   ,2023,3,00000000,0,0,20241213,010338
GZPE 000     , 300, 300,   ,2023,3,00000000,0,1,20241213,010355
GGSE AAA     , 300, 250,   ,2023,1,00000000,0,0,20230113,144041
GFTDR000     , 150,  75,   ,2023,1,00000000,0,0,20241213,010321
K22E 000     , 100,    ,   ,2023,3,00000000,0,0,20241213,010411
KJRE 000     ,  75,    ,   ,2023,3,00000000,0,0,20241213,010453
KJRE 000     , 100,    ,   ,2023,3,00000000,0,0,20241213,010454
KKUE 000     , 350, 200,   ,2024,2,00000000,0,1,20241213,010532
KKUE 000     , 200, 150,   ,2024,2,00000000,11,5,20241213,010530
GG2E 000     , 250,    ,   ,2024,2,00000000,23,14,20241213,010325
G11E 000     , 250,    ,   ,2024,2,00000000,24,15,20241213,010311
GGTE 000     , 250, 100,   ,2024,2,00000000,6,0,20241213,010335
GGSE 000     , 100,  75,   ,2024,2,00000000,30,4,20241213,010331
G45E 000     , 250,    ,   ,2024,2,00000000,42,56,20241213,010316
GG4E 000     , 250,    ,   ,2024,2,00000000,46,47,20241213,010327
KS2ER000     , 250,    ,   ,2024,2,00000000,14,2,20241213,010614
FSPEA000     ,  75, 500,   ,2024,2,00000000,119,53,20241213,010239
FRPER000     , 250, 150,   ,2024,2,00000000,0,0,20240520,170109
TS1ER000     ,  75,    ,   ,2024,3,00000000,16,1,20241213,010803
FSPER000     ,  75, 300,   ,2024,1,00000000,64,27,20241213,010246
GS2ED000     , 150,    ,   ,2024,1,00000000,10,4,20241213,010347
KJRE 000     , 300,    ,   ,2024,1,00000000,33,36,20241213,010455
KP1E 000     , 300,    ,   ,2024,1,00000000,29,16,20241213,010541
KFTNR113     , 150,  75,   ,2023,2,00000000,0,0,20241213,010450
FFCEA000     , 100,    ,   ,2024,1,00000000,17,4,20241213,010212
KS1ED000     ,  75,    ,   ,2024,1,00000000,0,0,20241122,093031
KS2ED000     ,  75,    ,   ,2024,1,00000000,8,0,20241213,010611
BFJCL        , 250,    ,   ,2023,1,00000000,0,0,20241213,010114
FSPEA000     , 100, 300,   ,2024,1,00000000,14,9,20241213,010240
FSPEA000     , 100, 200,   ,2024,1,00000000,1,2,20241213,010239
F90ER000     ,  75,    ,   ,2024,2,00000000,13,6,20241213,010201
FSPED000     ,  75, 200,   ,2024,1,00000000,6,18,20241213,010242
KJRE 000     , 300,    ,   ,2024,3,00000000,183,61,20241213,010455
T45E 000     , 200,    ,   ,2024,3,00000000,19,20,20241213,010756
T90E 000     , 200,    ,   ,2024,3,00000000,6,4,20241213,010757
TTTE 000     , 200, 100,   ,2024,3,00000000,0,0,20240124,111809
PRGB 000     , 200,    ,   ,2024,3,00000000,25,1,20241213,010744
1RG  000     , 200,    ,   ,2024,3,00000000,20,0,20241213,010047
G90E 000     , 100,    ,   ,2024,1,00000000,59,27,20241213,010319
FSPER000     ,  75, 250,   ,2024,2,00000000,39,3,20241213,010246
FSPEA000     ,  75, 100,   ,2024,2,00000000,43,6,20241213,010237
KJRE 000     , 350,    ,   ,2024,1,00000000,14,11,20241213,010455
KP1E 000     , 350,    ,   ,2024,1,00000000,13,11,20241213,010541
GS2E2000     , 200,    ,   ,2024,1,00000000,0,0,20240318,001537
KS2EA000     , 100,    ,   ,2024,1,00000000,16,15,20241213,010609
KUTER006     , 150,  75,   ,2021,2,00000000,0,0,20241213,010624
FSPER000     ,  75, 100,   ,2024,3,00000000,48,3,20241213,010245
G05E 000     , 100,    ,   ,2024,1,00000000,75,2,20241213,010308
FSPER000     ,  75, 400,   ,2024,3,00000000,20,4,20241213,010246
G05E 000     , 100,    ,   ,2024,41,00000000,10,0,20241213,010308
G05E 000     , 100,    ,   ,2024,31,00000000,32,1,20241213,010308
KKUE 000     , 250, 100,   ,2024,1,00000000,0,0,20241209,152606
GGTE 000     , 250, 150,   ,2024,1,00000000,6,7,20241213,010335
GJRE 000     , 250,    ,   ,2024,1,00000000,82,54,20241213,010340
GS1EA000     , 150,    ,   ,2024,1,00000000,23,4,20241213,010343
KZPE 000     , 150, 300,   ,2024,1,00000000,3,1,20241213,010629
GS1EA000     , 150,    ,   ,2024,31,00000000,7,0,20241213,010343
GGHE 000     ,  75,    ,   ,2024,1,00000000,30,2,20241213,010329
GGTE 000     , 250, 250,   ,2024,3,00000000,11,3,20241213,010335
GGTE 000     , 250, 150,   ,2024,3,00000000,7,5,20241213,010335
GGTE 000     , 250, 100,   ,2024,3,00000000,7,4,20241213,010335
GFTEA000     , 250,  75,   ,2024,3,00000000,3,4,20241213,010322
GGSE 000     , 250, 200,   ,2024,3,00000000,8,3,20241213,010331
GGSE 000     , 200, 150,   ,2024,3,00000000,7,7,20241213,010331
GGSE 000     , 150, 100,   ,2024,3,00000000,26,8,20241213,010331
GGUE 000     , 250, 200,   ,2024,3,00000000,3,5,20241213,010338
GGUE 000     , 200, 150,   ,2024,3,00000000,11,11,20241213,010338
G05E 000     ,  75,    ,   ,2024,3,00000000,29,5,20241213,010308
GG2E 000     ,  75,    ,   ,2024,3,00000000,49,45,20241213,010324
GJRE 000     ,  75,    ,   ,2024,3,00000000,197,145,20241213,010340
G90E 000     ,  75,    ,   ,2024,3,00000000,69,14,20241213,010319
FSPER000     ,  75, 300,   ,2024,3,00000000,37,11,20241213,010246
GGUE 000     , 150, 100,   ,2024,3,00000000,24,11,20241213,010338
GGTE 000     , 150, 150,   ,2024,1,00000000,82,30,20241213,010334
GS1EA000     , 200,    ,   ,2023,2,00000000,0,0,20241213,010343
GS2EA000     , 200,    ,   ,2023,2,00000000,0,0,20241213,010346
GGSE 000     , 250, 200,   ,2023,2,00000000,1,0,20241213,010331
G45E 000     , 200,    ,   ,2023,2,00000000,0,1,20241213,010316
FFCEA000     ,  75,    ,   ,2023,2,00000000,0,0,20241213,010212
G45E 000     , 250,    ,   ,2023,1,00000000,0,0,20241213,010316
G45E 000     , 150,    ,   ,2023,3,00000000,6,3,20241213,010316
KS1EA000     , 100,    ,   ,2023,3,00000000,12,13,20241213,010550
GZPE 000     ,  75, 300,   ,2023,1,00000000,14,0,20241213,010354
GZPE 000     ,  75, 450,   ,2023,1,00000000,0,0,20241213,010354
FSPEA000     ,  75, 150,   ,2023,31,00000000,0,0,20241213,010237
G22E 000     , 250,    ,   ,2023,3,00000000,4,7,20241213,010314
GJRE 000     , 250,    ,   ,2023,3,00000000,1,0,20241213,010340
KKSE 000     , 150, 100,   ,2023,2,00000000,0,0,20241213,010507
GGTE 000     , 150, 150,   ,2023,1,00000000,1,0,20241213,010334
GGUE 000     , 150, 100,   ,2023,1,00000000,0,0,20241213,010337
GGSE 000     , 150, 100,   ,2023,1,00000000,0,0,20241213,010331
GZPE 000     , 100, 300,   ,2023,1,00000000,0,0,20241213,010354
GZPE 000     , 100, 450,   ,2023,1,00000000,0,0,20241213,010354
GZPE 000     , 150, 450,   ,2023,1,00000000,0,0,20241213,010354
ZPJE 000     , 200,  50,   ,2023,1,00000000,0,0,20241213,010825
GS1EA000     , 100,    ,   ,2023,1,00000000,0,0,20241213,010343
GS2EA000     ,  75,    ,   ,2023,1,00000000,0,0,20241213,010346
KJRE 000     , 500,    ,   ,2023,1,00000000,1,0,20241213,010456
KS2ED000     , 500,    ,   ,2023,1,00000000,0,0,20240318,001527
KKTE 000     , 200, 200,   ,2023,2,00000000,0,0,20241213,010519
KKTE 000     , 200, 150,   ,2023,2,00000000,0,0,20241213,010519
KKUE 000     , 200, 150,   ,2023,2,00000000,0,0,20241213,010530
KKSE 000     , 200, 150,   ,2023,2,00000000,0,0,20241213,010507
KFTEA000     , 200,  75,   ,2023,2,00000000,0,0,20241213,010438
KS1EA000     , 200,    ,   ,2023,2,00000000,1,0,20241213,010550
KS2EA000     , 200,    ,   ,2023,2,00000000,1,1,20241213,010609
GFTEA000     , 250,  75,   ,2023,1,00000000,0,0,20241213,010322
